LMP,Stress,T2,dT,T2_VPV_FCC,T2_VPV_FECR_B2,T2_VPV_L12,T2_VPV_LAVES_C14,T2_VPV_M23C6,T2_VPV_M2B_CB,T2_VPV_M3B2_D5A,T2_VPV_NbC,T2_VPV_NIAL_B2,T2_VPV_SIGMA
23245.2545,100,750,454,0.94999832,0,7.12E-03,3.10E-02,0,0,1.17E-03,4.41E-03,6.31E-03,0
21188.98664,250,650,554,0.89424623,0,0,3.38E-02,1.66E-02,1.48E-03,0,1.11E-02,4.28E-02,0
23696.21912,100,750,454,0.94702254,0,0,1.65E-02,1.60E-02,0,1.17E-03,1.11E-02,8.19E-03,0
21165.73561,250,650,554,0.78207154,0,0,4.31E-02,0,1.47E-03,0,4.56E-03,0.12213393,3.87E-02
23369.2641,100,750,454,0.8731557,0,0,3.59E-02,0,0,1.16E-03,4.57E-03,8.52E-02,0
21285.72064,250,650,554,0.81626243,0,0,3.40E-02,1.71E-02,1.46E-03,0,1.11E-02,0.11586717,4.09E-03
23755.50677,100,750,454,0.86873621,0,0,1.85E-02,1.65E-02,0,1.16E-03,1.12E-02,8.39E-02,0
20988.62527,250,650,554,0.79206908,2.63E-02,0,0,0,1.45E-03,0,1.97E-02,0.11555872,2.88E-02
23276.91547,100,750,454,0.8856922,0,2.65E-02,0,0,1.43E-03,0,1.99E-02,6.66E-02,0
21028.22223,250,650,554,0.7444564,0,0,4.28E-02,0,1.32E-03,0,1.91E-02,0.13028985,4.95E-02
23277.69835,100,750,454,0.84641107,0,8.57E-04,4.03E-02,0,0,1.04E-03,1.92E-02,9.23E-02,0
21253.4902,250,650,554,0.8947906,0,0,3.40E-02,1.50E-02,5.08E-04,5.33E-04,1.14E-02,4.38E-02,0
23706.16955,100,750,454,0.94844323,0,0,1.79E-02,1.42E-02,0,9.34E-04,1.14E-02,7.03E-03,0
21073.8158,250,650,554,0.81035581,0.11080614,0,0,0,1.17E-03,0,1.91E-02,4.08E-02,0
23114.06358,100,750,454,0.96287845,0,1.34E-02,3.41E-03,0,0,0,1.93E-02,0,0
21087.16915,250,650,554,0.75168107,0.21331525,0,0,6.97E-03,1.60E-03,0,1.20E-02,6.47E-03,0
23439.20316,100,750,454,0.91155078,6.86E-02,0,0,6.26E-03,1.58E-03,0,1.20E-02,0,0
21050.10412,250,650,554,0.94431083,0,0,0,1.29E-02,1.30E-03,0,1.18E-02,2.09E-02,2.90E-03
23355.69221,100,750,454,0.9749138,0,0,0,1.21E-02,1.29E-03,0,1.17E-02,0,0
20732.79335,250,650,554,0.88900383,0,0,3.85E-03,0,1.30E-03,0,9.50E-03,3.17E-02,6.39E-02
22862.31587,100,750,454,0.98938883,0,0,0,0,0,0,9.44E-03,0,0
20840.08399,250,650,554,0.90680685,0,0,0,1.28E-02,1.30E-03,0,1.18E-02,3.12E-02,3.57E-02
23001.43874,100,750,454,0.97505302,0,0,0,1.20E-02,1.28E-03,0,1.17E-02,0,0
21358.68892,250,650,554,0.88887116,1.54E-02,0,3.78E-02,5.10E-03,1.03E-03,0,1.13E-02,4.05E-02,0
22519.6707,170,700,504,0.92994826,0,0,3.01E-02,4.85E-03,0,8.20E-04,1.13E-02,2.30E-02,0
23757.90183,100,750,454,0.95924356,0,0,2.07E-02,4.43E-03,0,8.17E-04,1.13E-02,3.53E-03,0
